ID,Charm Type,Charm Name,Skill 1,Skill 2,Charm Slot,Table No.
33339,Timeworn Charm,King Talisman,Fire Atk +6,,0,1
50357,Timeworn Charm,King Talisman,Reload Spd +5,Rewards -3,0,1
38827,Timeworn Charm,King Talisman,Stamina +3,,1,1
35800,Timeworn Charm,Queen Talisman,Eating +1,Fire Res -5,1,1
25952,Timeworn Charm,Queen Talisman,KO +1,,1,1
57505,Timeworn Charm,King Talisman,Stamina +5,Evade Dist -2,0,1
54978,Timeworn Charm,Queen Talisman,PelletS Up +2,Sharpness +1,0,1
2404,Timeworn Charm,Queen Talisman,Debilitate +3,,0,1
30926,Timeworn Charm,Queen Talisman,Status +1,Guard Up +1,0,1
17847,Timeworn Charm,Queen Talisman,Guard Up +4,NormalS Up -2,0,1
3648,Timeworn Charm,Dragon Talisman,Fencing +5,Sharpness +3,0,1
53781,Timeworn Charm,King Talisman,Guard Up +6,Hunger -1,0,1
53184,Timeworn Charm,Dragon Talisman,Potential +5,Fire Res +10,0,1
13475,Timeworn Charm,Queen Talisman,Recoil +1,Fate -2,2,1
18532,Timeworn Charm,King Talisman,Evade Dist +3,Sharpener +5,0,1
58845,Timeworn Charm,King Talisman,Rapid Fire +5,,0,1
29366,Timeworn Charm,King Talisman,Debilitate +4,Water Atk -10,0,1
4739,Timeworn Charm,King Talisman,HearProtct +5,Guard +1,0,1
49708,Timeworn Charm,Queen Talisman,Fencing +1,HearProtct -1,1,1
55329,Timeworn Charm,King Talisman,Stamina +5,,0,1
64180,Timeworn Charm,King Talisman,Slam +1,Carving +3,0,1
53244,Timeworn Charm,King Talisman,Reload Spd +3,NormalS Up +1,0,1
24035,Timeworn Charm,Dragon Talisman,FatigueAtk +5,Rapid Fire +1,1,1
46928,Timeworn Charm,King Talisman,Will Recov +6,,0,1
23590,Timeworn Charm,Dragon Talisman,WindPress +4,PelletS Up +2,0,1
33971,Timeworn Charm,King Talisman,Sharpness +5,Elemental -1,0,1
30863,Timeworn Charm,Queen Talisman,Dragon Atk +3,Carving -3,0,1
6759,Timeworn Charm,King Talisman,Evade Dist +6,,0,1
13050,Timeworn Charm,King Talisman,Sheathe +5,Gunnery -8,1,1
9095,Timeworn Charm,King Talisman,Potential +5,,0,1
32008,Timeworn Charm,King Talisman,Evade Dist +5,,0,1
12190,Timeworn Charm,King Talisman,Fencing +3,PunishDraw +2,0,1
53824,Timeworn Charm,Dragon Talisman,Guard Up +6,Water Atk +8,0,1
60752,Timeworn Charm,Queen Talisman,Recoil +3,,0,1
38183,Timeworn Charm,King Talisman,PunishDraw +4,,0,1
53182,Timeworn Charm,King Talisman,Dragon Atk +6,Will Recov -3,0,1
13123,Timeworn Charm,Queen Talisman,Awaken +2,BombStrUp -1,0,1
21943,Timeworn Charm,Queen Talisman,Fire Atk +1,,0,1
5551,Timeworn Charm,King Talisman,Blight Res +2,Recoil +2,0,1
61894,Timeworn Charm,King Talisman,HearProtct +4,,0,1
43086,Timeworn Charm,Queen Talisman,PelletS Up +3,Hunger -2,0,1
1028,Timeworn Charm,Queen Talisman,Evade Dist +4,,0,1
50202,Timeworn Charm,King Talisman,Eating +5,Sharpness -1,0,1
11547,Timeworn Charm,Queen Talisman,Recoil +2,Ice Res -10,1,1
6019,Timeworn Charm,Dragon Talisman,PunishDraw +4,FatigueAtk +2,0,1
13536,Timeworn Charm,King Talisman,Rewards +5,Status +1,0,1
29268,Timeworn Charm,Queen Talisman,Ice Attack +4,Expert -9,0,1
52854,Timeworn Charm,King Talisman,Sharpness +4,Reload Spd -2,1,1
20758,Timeworn Charm,Queen Talisman,Thundr Atk +3,,0,1
58443,Timeworn Charm,Queen Talisman,Will Recov +1,Stun +8,0,1
23977,Timeworn Charm,King Talisman,Reload Spd +3,Wide Area +5,0,1
36720,Timeworn Charm,Queen Talisman,Recoil +3,Water Res -5,0,1
57146,Timeworn Charm,King Talisman,Slam +4,Rec Speed +1,1,1
57157,Timeworn Charm,Queen Talisman,Loading +2,,0,1
59093,Timeworn Charm,Queen Talisman,Rapid Fire +2,,0,1
7651,Timeworn Charm,King Talisman,KO +6,,0,1
39316,Timeworn Charm,King Talisman,Recoil +1,Water Atk +5,1,1
56501,Timeworn Charm,Queen Talisman,Awaken +1,,1,1
9000,Timeworn Charm,Queen Talisman,Eating +1,Rec Speed +4,0,1
15288,Timeworn Charm,King Talisman,FastCharge +4,,1,1
10805,Timeworn Charm,King Talisman,Fire Atk +7,,0,1
6153,Timeworn Charm,Dragon Talisman,Loading +6,Will Recov +4,0,1
37120,Timeworn Charm,King Talisman,Water Atk +7,,0,1
62183,Timeworn Charm,King Talisman,Guard +5,WindPress -10,0,1
28587,Timeworn Charm,Dragon Talisman,Reload Spd +6,Constitutn +2,0,1
63724,Timeworn Charm,Queen Talisman,PierceS Up +3,,0,1
38351,Timeworn Charm,Dragon Talisman,FatigueAtk +3,Defense +8,0,1
17387,Timeworn Charm,Dragon Talisman,Dragon Atk +7,Will Recov +3,0,1
53414,Timeworn Charm,Queen Talisman,Crit Draw +1,WindPress -6,1,1
53955,Timeworn Charm,Queen Talisman,Reload Spd +4,,0,1
18445,Timeworn Charm,King Talisman,Blight Res +3,,2,1
43533,Timeworn Charm,King Talisman,Protection +4,Reload Spd -1,2,1
14337,Timeworn Charm,Queen Talisman,WindPress +1,Protection -3,1,1
39518,Timeworn Charm,King Talisman,Artisan +3,,2,1
26690,Timeworn Charm,King Talisman,Guard Up +3,Artisan +2,0,1
56667,Timeworn Charm,Queen Talisman,Sharpness +1,Protection -9,1,1
38216,Timeworn Charm,King Talisman,NormalS Up +2,Ice Attack +4,0,1
58990,Timeworn Charm,King Talisman,Protection +7,,0,1
54886,Timeworn Charm,Queen Talisman,Protection +1,,1,1
51575,Timeworn Charm,King Talisman,Status +6,NormalS Up -2,0,1
57106,Timeworn Charm,King Talisman,Sheathe +1,Debilitate +3,0,1
50117,Timeworn Charm,Dragon Talisman,Artisan +3,Wide Area +11,0,1
61950,Timeworn Charm,King Talisman,Debilitate +2,Psychic -6,3,1
52942,Timeworn Charm,King Talisman,Rapid Fire +1,Fate +3,0,1
36246,Timeworn Charm,King Talisman,Reload Spd +6,Sharpness -2,1,1
39085,Timeworn Charm,Dragon Talisman,Evade Dist +5,Water Atk +6,0,1
15845,Timeworn Charm,King Talisman,WindPress +4,Sharpness -3,0,1
43474,Timeworn Charm,King Talisman,Rapid Fire +4,Guard -3,1,1
3953,Timeworn Charm,King Talisman,WindPress +5,Hunger -9,0,1
42098,Timeworn Charm,King Talisman,Debilitate +4,,0,1
23229,Timeworn Charm,King Talisman,Sheathe +5,,1,1
35798,Timeworn Charm,King Talisman,FatigueAtk +5,Will Recov -1,1,1
25600,Timeworn Charm,King Talisman,Rewards +5,Elemental -3,0,1
60916,Timeworn Charm,Queen Talisman,Ice Attack +3,,0,1
1684,Timeworn Charm,King Talisman,Potential +5,,0,1
34932,Timeworn Charm,Queen Talisman,Rapid Fire +1,Crit Draw +1,1,1
3910,Timeworn Charm,King Talisman,WindPress +5,Fate -3,0,1
34530,Timeworn Charm,King Talisman,Carving +4,Fencing -1,0,1
63884,Timeworn Charm,King Talisman,Artisan +5,FatigueAtk -2,0,1
1148,Timeworn Charm,King Talisman,Constitutn +1,Sharpener +8,0,1
5959,Timeworn Charm,King Talisman,Debilitate +3,Sharpness +1,0,1
2976,Timeworn Charm,King Talisman,FastCharge +2,Crit Draw +2,0,1
872,Timeworn Charm,King Talisman,Recoil +4,,0,1
22746,Timeworn Charm,King Talisman,Rewards +5,Rec Level -1,0,1
16153,Timeworn Charm,Queen Talisman,Will Recov +4,BombStrUp -1,0,1
32319,Timeworn Charm,Dragon Talisman,FatigueAtk +5,Eating +3,0,1
1563,Timeworn Charm,King Talisman,Water Atk +4,Blight Res +1,1,1
13636,Timeworn Charm,King Talisman,Reload Spd +5,Defense -4,0,1
46868,Timeworn Charm,Queen Talisman,WindPress +1,Potential +1,0,1
13030,Timeworn Charm,Queen Talisman,Rewards +1,Debilitate -3,0,1
5575,Timeworn Charm,King Talisman,Stamina +5,Dragon Atk -1,1,1
755,Timeworn Charm,King Talisman,Fire Atk +7,FatigueAtk -2,0,1
2154,Timeworn Charm,King Talisman,WindPress +5,,0,1
52289,Timeworn Charm,King Talisman,KO +3,,3,1
52044,Timeworn Charm,King Talisman,Eating +3,Sheathe +1,0,1
8924,Timeworn Charm,Queen Talisman,Evasion +2,,2,1
1912,Timeworn Charm,Dragon Talisman,Sheathe +5,Stamina +2,0,1
9697,Timeworn Charm,Queen Talisman,Slam +3,,0,1
7234,Timeworn Charm,Queen Talisman,Will Recov +1,,2,1
31287,Timeworn Charm,King Talisman,Stamina +2,Debilitate +2,0,1
16020,Timeworn Charm,Queen Talisman,Slam +3,Guard Up -2,0,1
8911,Timeworn Charm,Queen Talisman,KO +3,,0,1
64987,Timeworn Charm,Queen Talisman,Ice Attack +5,ThunderRes -6,0,1
64550,Timeworn Charm,King Talisman,Constitutn +5,,0,1
53001,Timeworn Charm,Queen Talisman,Protection +1,,1,1
46630,Timeworn Charm,King Talisman,Reload Spd +5,Stamina -3,0,1
36505,Timeworn Charm,King Talisman,Recoil +4,Evasion -2,0,1
19306,Timeworn Charm,King Talisman,FatigueAtk +4,ThunderRes +5,0,1
64343,Timeworn Charm,King Talisman,KO +3,Fate +2,0,1
16569,Timeworn Charm,King Talisman,Slam +4,,0,1
40172,Timeworn Charm,King Talisman,Blight Res +2,Stamina +1,2,1
11068,Timeworn Charm,Dragon Talisman,Stamina +4,Water Res +8,0,1
52441,Timeworn Charm,Queen Talisman,Blight Res +1,,1,1
13433,Timeworn Charm,King Talisman,Elemental +4,Eating -1,0,1
11140,Timeworn Charm,Queen Talisman,Loading +4,Protection -2,0,1
65113,Timeworn Charm,Queen Talisman,Guard +4,Slam -1,0,1
21363,Timeworn Charm,Queen Talisman,FastCharge +2,,0,1
34197,Timeworn Charm,Dragon Talisman,Artisan +5,Slam +3,0,1
5276,Timeworn Charm,Queen Talisman,Guard +1,,1,1
13494,Timeworn Charm,Queen Talisman,Sharpness +3,Dragon Res -9,0,1
21876,Timeworn Charm,Queen Talisman,Rapid Fire +1,Debilitate -1,0,1
59122,Timeworn Charm,King Talisman,Fate +4,,0,1
12755,Timeworn Charm,King Talisman,Thundr Atk +4,Potential +2,0,1
22538,Timeworn Charm,King Talisman,Potential +3,Gunnery +5,0,1
44908,Timeworn Charm,Queen Talisman,Water Atk +3,Crit Draw -1,0,1
60248,Timeworn Charm,Queen Talisman,Ice Attack +1,,1,1
14842,Timeworn Charm,King Talisman,Rapid Fire +4,,0,1
63035,Timeworn Charm,King Talisman,Rapid Fire +5,Protection -2,0,1
47813,Timeworn Charm,King Talisman,PunishDraw +5,,0,1
48624,Timeworn Charm,King Talisman,Fire Atk +7,Will Recov -1,0,1
60634,Timeworn Charm,Queen Talisman,HearProtct +3,,0,1
17415,Timeworn Charm,King Talisman,PunishDraw +2,Sharpener +6,0,1
58342,Timeworn Charm,Dragon Talisman,Debilitate +4,KO +2,0,1
6201,Timeworn Charm,King Talisman,Fencing +3,Rec Speed +6,0,1
45568,Timeworn Charm,Dragon Talisman,Potential +6,Rewards +2,0,1
45682,Timeworn Charm,Queen Talisman,PelletS Up +1,,1,1
383,Timeworn Charm,Queen Talisman,Stamina +1,Artisan +1,0,1
2045,Timeworn Charm,Dragon Talisman,PierceS Up +4,Status -9,3,1
33105,Timeworn Charm,King Talisman,KO +5,Fencing +1,0,1
9173,Timeworn Charm,Dragon Talisman,Fate +3,Potential +4,0,1
45736,Timeworn Charm,Dragon Talisman,Rapid Fire +5,Status +4,0,1
9887,Timeworn Charm,Dragon Talisman,PelletS Up +3,NormalS Up +3,0,1
40674,Timeworn Charm,King Talisman,WindPress +5,Dragon Res +3,0,1
34057,Timeworn Charm,Queen Talisman,Sharpness +1,Expert -1,0,1
45999,Timeworn Charm,Queen Talisman,Blight Res +3,Horn -3,0,1
56175,Timeworn Charm,Dragon Talisman,Status +6,Ice Res +10,0,1
16987,Timeworn Charm,Queen Talisman,Status +3,,0,1
48377,Timeworn Charm,Dragon Talisman,Water Atk +4,Rec Speed +11,0,1
17162,Timeworn Charm,King Talisman,Loading +6,ThunderRes -4,0,1
13814,Timeworn Charm,King Talisman,Rec Level +3,,3,1
12833,Timeworn Charm,Queen Talisman,Blight Res +1,Slam -1,2,1
36266,Timeworn Charm,King Talisman,Guard +5,,1,1
42605,Timeworn Charm,Queen Talisman,Awaken +3,Sharpener -8,0,1
47098,Timeworn Charm,Queen Talisman,Protection +1,,2,1
53510,Timeworn Charm,Queen Talisman,Fate +2,Crit Draw -1,0,1
5488,Timeworn Charm,King Talisman,Eating +4,,0,1
50806,Timeworn Charm,King Talisman,Rewards +1,Loading +3,0,1
52488,Timeworn Charm,Queen Talisman,Crit Draw +2,Loading +1,0,1
21705,Timeworn Charm,Queen Talisman,WindPress +3,,0,1
29026,Timeworn Charm,Queen Talisman,Rewards +2,Horn -7,1,1
10262,Timeworn Charm,King Talisman,Fencing +4,,0,1
41311,Timeworn Charm,King Talisman,Thundr Atk +6,Expert +2,0,1
15443,Timeworn Charm,Dragon Talisman,Artisan +5,,0,1
38085,Timeworn Charm,Queen Talisman,Carving +2,,1,1
35934,Timeworn Charm,King Talisman,HearProtct +3,,1,1
49536,Timeworn Charm,Dragon Talisman,Fencing +2,Eating +3,0,1
25057,Timeworn Charm,Queen Talisman,Debilitate +1,Rec Level -1,1,1
30711,Timeworn Charm,King Talisman,Water Atk +6,Dragon Res -3,0,1
45370,Timeworn Charm,Queen Talisman,Reload Spd +2,Horn -4,0,1
10834,Timeworn Charm,Queen Talisman,PunishDraw +3,FastCharge -1,0,1
11257,Timeworn Charm,Queen Talisman,Elemental +1,,0,1
20342,Timeworn Charm,King Talisman,Sheathe +1,Fire Res +10,0,1
50590,Timeworn Charm,King Talisman,Stamina +4,,0,1
14472,Timeworn Charm,Queen Talisman,Constitutn +1,Loading -2,1,1
63278,Timeworn Charm,Queen Talisman,Evasion +2,,0,1
25218,Timeworn Charm,Queen Talisman,Dragon Atk +1,,2,1
59047,Timeworn Charm,Queen Talisman,Fencing +2,Water Res -6,1,1
64918,Timeworn Charm,King Talisman,Sharpness +4,Health -5,2,1
52406,Timeworn Charm,Queen Talisman,Thundr Atk +2,,0,1
7273,Timeworn Charm,Queen Talisman,Slam +1,Fencing +1,0,1
38151,Timeworn Charm,Queen Talisman,Guard +3,Wide Area -2,0,1
47550,Timeworn Charm,King Talisman,KO +5,Constitutn -1,1,1
2336,Timeworn Charm,Queen Talisman,PierceS Up +1,,1,1
18958,Timeworn Charm,Queen Talisman,Recoil +2,Fire Atk +2,0,1
3095,Timeworn Charm,King Talisman,FatigueAtk +5,,1,1
21816,Timeworn Charm,Queen Talisman,FatigueAtk +1,,1,1
48562,Timeworn Charm,Queen Talisman,KO +2,,0,1
49722,Timeworn Charm,King Talisman,WindPress +4,,1,1
57793,Timeworn Charm,Dragon Talisman,FastCharge +5,PelletS Up +1,0,1
40303,Timeworn Charm,Dragon Talisman,Constitutn +6,BombStrUp +7,0,1
34124,Timeworn Charm,Queen Talisman,Recoil +2,,1,1
57791,Timeworn Charm,King Talisman,Fire Atk +2,Will Recov +1,2,1
39951,Timeworn Charm,Queen Talisman,PelletS Up +3,,0,1
37535,Timeworn Charm,Queen Talisman,Constitutn +1,,2,1
4497,Timeworn Charm,Queen Talisman,Evade Dist +2,Eating +1,0,1
7116,Timeworn Charm,Queen Talisman,Fate +1,Water Atk -5,2,1
10519,Timeworn Charm,Dragon Talisman,Stamina +5,Evasion +2,0,1
21180,Timeworn Charm,King Talisman,Loading +6,,0,1
1989,Timeworn Charm,Dragon Talisman,Carving +4,Stamina +3,0,1
23249,Timeworn Charm,Queen Talisman,Potential +4,Artisan -2,0,1
39318,Timeworn Charm,Queen Talisman,Ice Attack +4,,0,1
56853,Timeworn Charm,Dragon Talisman,Recoil +5,Psychic +4,0,1
5589,Timeworn Charm,King Talisman,NormalS Up +1,WindPress +3,0,1
3219,Timeworn Charm,Dragon Talisman,PierceS Up +5,,0,1
43640,Timeworn Charm,Queen Talisman,Potential +2,Rapid Fire -1,0,1
33169,Timeworn Charm,Queen Talisman,FastCharge +3,,0,1
20437,Timeworn Charm,King Talisman,FastCharge +3,Crit Draw +1,0,1
1947,Timeworn Charm,Queen Talisman,Crit Draw +2,Rec Level -2,0,1
15857,Timeworn Charm,Dragon Talisman,Thundr Atk +5,NormalS Up +3,0,1
45586,Timeworn Charm,Queen Talisman,Status +2,Sheathe -7,0,1
48850,Timeworn Charm,Queen Talisman,Status +1,,1,1
35047,Timeworn Charm,Queen Talisman,Fate +1,Blight Res -1,1,1
24150,Timeworn Charm,King Talisman,Recoil +4,,0,1
1805,Timeworn Charm,Queen Talisman,Fate +1,Constitutn +1,0,1
56228,Timeworn Charm,Queen Talisman,Recoil +1,Awaken -1,1,1
26315,Timeworn Charm,Queen Talisman,WindPress +1,Expert -6,1,1
56030,Timeworn Charm,King Talisman,Fate +2,NormalS Up +2,1,1
56830,Timeworn Charm,Queen Talisman,Guard Up +3,PelletS Up -1,0,1
1541,Timeworn Charm,Queen Talisman,Elemental +2,Dragon Res -3,0,1
9764,Timeworn Charm,Dragon Talisman,Evasion +4,Awaken +4,0,1
19026,Timeworn Charm,Dragon Talisman,Awaken +5,Hunger +9,0,1
15063,Timeworn Charm,Queen Talisman,Protection +1,Dragon Atk -10,1,1
36568,Timeworn Charm,Dragon Talisman,Guard Up +6,Rewards +2,0,1
30394,Timeworn Charm,King Talisman,Artisan +1,Health +9,0,1
54941,Timeworn Charm,King Talisman,Eating +4,Water Atk -8,0,1
61255,Timeworn Charm,Dragon Talisman,Artisan +4,Rapid Fire +3,0,1
61348,Timeworn Charm,King Talisman,FastCharge +5,Status -10,0,1
12353,Timeworn Charm,Queen Talisman,Guard +1,,1,1
17149,Timeworn Charm,Queen Talisman,Status +2,Reload Spd -2,0,1
11526,Timeworn Charm,King Talisman,WindPress +1,Blight Res +3,0,1
2323,Timeworn Charm,King Talisman,Carving +4,,0,1
16670,Timeworn Charm,Queen Talisman,Fate +1,,1,1
57948,Timeworn Charm,King Talisman,Fate +1,Potential +3,0,1
2220,Timeworn Charm,Queen Talisman,Ice Attack +1,Thundr Atk -5,2,1
63905,Timeworn Charm,Queen Talisman,Rewards +1,Gunnery -10,1,1
4844,Timeworn Charm,King Talisman,Artisan +5,,0,1
2825,Timeworn Charm,King Talisman,Awaken +3,Rapid Fire +1,0,1
39659,Timeworn Charm,King Talisman,Guard +5,Evade Dist +1,0,1
51506,Timeworn Charm,King Talisman,Fate +5,,0,1
44962,Timeworn Charm,King Talisman,Elemental +2,Stun +6,0,1
4389,Timeworn Charm,Dragon Talisman,Sheathe +4,FastCharge +3,0,1
53471,Timeworn Charm,Queen Talisman,Elemental +2,,1,1
63987,Timeworn Charm,Dragon Talisman,FastCharge +4,Artisan +2,0,1
19276,Timeworn Charm,Queen Talisman,Stamina +2,,0,1
59063,Timeworn Charm,Queen Talisman,Thundr Atk +3,Evasion -2,1,1
2371,Timeworn Charm,King Talisman,Thundr Atk +1,Protection +8,0,1
25118,Timeworn Charm,King Talisman,PierceS Up +5,PelletS Up -2,0,1
41447,Timeworn Charm,King Talisman,PunishDraw +2,Dragon Atk +5,0,1
39379,Timeworn Charm,Queen Talisman,Crit Draw +2,KO -3,1,1
2226,Timeworn Charm,King Talisman,Fencing +5,PelletS Up -3,0,1
64961,Timeworn Charm,Queen Talisman,Sharpness +2,Reload Spd -1,1,1
59974,Timeworn Charm,King Talisman,Sharpness +4,Water Atk -8,0,1
31981,Timeworn Charm,King Talisman,Recoil +4,Elemental +1,0,1
7438,Timeworn Charm,King Talisman,Sheathe +1,Health +9,0,1
1828,Timeworn Charm,Queen Talisman,Crit Draw +1,PelletS Up +1,0,1
60276,Timeworn Charm,Queen Talisman,Crit Draw +2,Horn -3,1,1
19770,Timeworn Charm,Dragon Talisman,Potential +4,FastCharge +3,0,1
15281,Timeworn Charm,Dragon Talisman,Fate +4,Rewards +2,0,1
9573,Timeworn Charm,Queen Talisman,Crit Draw +1,,1,1
50773,Timeworn Charm,King Talisman,Constitutn +6,Sheathe -9,0,1
46680,Timeworn Charm,King Talisman,Will Recov +6,FatigueAtk -1,0,1
45305,Timeworn Charm,King Talisman,Recoil +1,ThunderRes -5,3,1
64757,Timeworn Charm,King Talisman,Crit Draw +4,,0,1
24070,Timeworn Charm,King Talisman,Will Recov +5,,0,1
53088,Timeworn Charm,King Talisman,Sheathe +1,Stamina +3,0,1
61942,Timeworn Charm,King Talisman,Evasion +1,Fate +1,2,1
51534,Timeworn Charm,King Talisman,Slam +4,Hunger -2,1,1
49890,Timeworn Charm,King Talisman,Constitutn +4,FastCharge -1,1,1
21998,Timeworn Charm,King Talisman,Debilitate +4,,1,1
15231,Timeworn Charm,King Talisman,Recoil +3,WindPress +2,0,1
